DICIONÁRIO DE DADOS;;;;;;;
Relação ;Atributo ;Tipo/Larg ;Nulo?;Único?;Valores permitidos;Restrições adicionais / Comportamento FK;Fonte Original / Documentação
MUNICIPIO;cod_ibge;CHAR(7);N;S;;PK;IBGE / Códigos dos Municípios 
MUNICIPIO;nome;VARCHAR(100);N;N;;;IBGE / Códigos dos Municípios
MUNICIPIO;uf ;CHAR(2);N;N ;Siglas oficiais das UFs;;IBGE / Códigos dos Municípios
POPULAÇÃO;cod_ibge;CHAR(7);N;N;;"PK(1). FK referencia Municipios(cod_ibge). 
Comportamento: ON DELETE RESTRICT.";IBGE / Estimativas de População 
POPULAÇÃO;ano ;INT;N;N;>= 2010 e <= 2021;PK(2);IBGE / Estimativas de População 
POPULAÇÃO;pop_total;BIGINT;N;N;>= 0;;IBGE / Estimativas de População 
PIB;cod_ibge;CHAR(7);N;N ;;"PK(1). FK referencia Municipios(cod_ibge). 
Comportamento: ON DELETE RESTRICT.";IBGE / PIB dos Municípios (PIB-MUNIC)
PIB;ano ;INT;N;N;>= 2010 e <= 2021;PK(2) ;IBGE / PIB dos Municípios (PIB-MUNIC)
PIB;pib_mil_rs;NUMERIC (15,3);N;N;>= 0;;IBGE / PIB dos Municípios (PIB-MUNIC)
PIB;pib_per_capita_rs;NUMERIC (15,2);S;N;>= 0;Calculado a partir do join com população ;IBGE / PIB dos Municípios (PIB-MUNIC)
HOMICÍDIO;cod_ibge;CHAR(7);N;N;;"PK(1). FK referencia Municipios(cod_ibge). 
Comportamento: ON DELETE RESTRICT.";IBGE / PIB dos Municípios (PIB-MUNIC)
HOMICÍDIO;ano ;INT;N;N;>= 2010 e <= 2021;PK(2) ;DATASUS (SIM) / Fórum Brasileiro de Segurança Pública (FBSP)
HOMICÍDIO;num_homicidios;INT;N;N;>= 0;;DATASUS (SIM) / Fórum Brasileiro de Segurança Pública (FBSP)
CAMPOINTEGRADO;taxa_homicidios_100mil;NUMERIC(5,2);N;N;;Sem relações. Cálculo: (homicidios/população)*100.000;DATASUS (SIM) / Fórum Brasileiro de Segurança Pública (FBSP)
