cod_ibge,ano,homicidios
354990,2010,65
230210,2010,8
430850,2010,6
510615,2010,8
210800,2011,1
410170,2011,1
211140,2011,1
521200,2011,0
351300,2011,26
290685,2011,3
421970,2011,3
420980,2011,0
210070,2011,3
270810,2011,2
410690,2012,594
510631,2012,0
171875,2012,0
316220,2012,1
220310,2012,3
312780,2012,2
320300,2012,6
240110,2012,6
260415,2013,8
250230,2013,0
411660,2013,0
230860,2013,3
316610,2013,0
520520,2013,1
130255,2013,0
261260,2014,18
315530,2014,0
500070,2014,8
210020,2014,1
160055,2014,2
352980,2014,1
210100,2014,6
510120,2014,0
250939,2015,0
521305,2015,0
314290,2015,3
240850,2015,0
270135,2015,1
315840,2015,0
431198,2015,1
520080,2015,6
316295,2015,2
430745,2016,1
240470,2016,2
210030,2016,8
411130,2016,1
250020,2016,2
120045,2016,10
130006,2016,0
430517,2016,3
421740,2017,1
412110,2017,1
312370,2017,4
330150,2017,4
291480,2017,133
260775,2017,22
270150,2017,9
210923,2017,3
521880,2017,81
313680,2017,0
420430,2018,7
221093,2018,0
241105,2018,3
311040,2018,0
520420,2018,0
314260,2018,0
431842,2018,0
354090,2018,2
220660,2019,0
521590,2019,0
330120,2019,1
150565,2019,8
171840,2019,0
355560,2019,0
431123,2019,1
520470,2019,2
352130,2020,3
421430,2020,0
421915,2020,0
316580,2020,0
211167,2020,0
350300,2020,1
172049,2020,0
211285,2020,5
211210,2020,1
353700,2020,0
292880,2020,26
291955,2020,29
521530,2020,1
130140,2020,13
130320,2021,9
411980,2021,2
292240,2021,9
510480,2021,13
421085,2021,0
280620,2010,4
313270,2010,6
311870,2010,0
313290,2010,0
311860,2010,243
313300,2010,1
311850,2010,0
313310,2010,0
311840,2010,3
313320,2010,1
311830,2010,9
313330,2010,9
313340,2010,1
311820,2010,0
313350,2010,1
311810,2010,2
313360,2010,0
311800,2010,5
313370,2010,1
311790,2010,0
313375,2010,2
311787,2010,0
313380,2010,13
313390,2010,0
311780,2010,1
313400,2010,1
311770,2010,0
313410,2010,1
311760,2010,1
313420,2010,18
311750,2010,0
313430,2010,3
311740,2010,0
313440,2010,3
313450,2010,0
311730,2010,3
313460,2010,1
311720,2010,0
313470,2010,0
311710,2010,2
313480,2010,0
311700,2010,0
313490,2010,0
311690,2010,1
313500,2010,0
311680,2010,3
313505,2010,3
313507,2010,0
311670,2010,0
313510,2010,12
311660,2010,3
313520,2010,9
311650,2010,0
313530,2010,0
311640,2010,0
313535,2010,4
311630,2010,1
313540,2010,2
313545,2010,1
311620,2010,0
313550,2010,3
311615,2010,0
313560,2010,4
311610,2010,0
313570,2010,0
311600,2010,0
313580,2010,2
311590,2010,0
313590,2010,0
313600,2010,5
311580,2010,0
313610,2010,0
311570,2010,2
313620,2010,10
311560,2010,0
313630,2010,17
311550,2010,1
313640,2010,0
313650,2010,0
311547,2010,0
313652,2010,0
311545,2010,3
313655,2010,0
311540,2010,0
313657,2010,3
311535,2010,0
313660,2010,1
311530,2010,2
313665,2010,4
313670,2010,60
311520,2010,0
313680,2010,1
311510,2010,0
313690,2010,0
311500,2010,0
313695,2010,0
313700,2010,3
311480,2010,0
313710,2010,2
311470,2010,0
313720,2010,2
311460,2010,0
313730,2010,1
311455,2010,1
313740,2010,0
313750,2010,2
311450,2010,2
313753,2010,0
311440,2010,0
313760,2010,3
311430,2010,3
313770,2010,2
311420,2010,1
313780,2010,1
311410,2010,0
313790,2010,0
313800,2010,0
311400,2010,0
313810,2010,2
311390,2010,1
313820,2010,6
311380,2010,0
313830,2010,1
311370,2010,3
313835,2010,0
313840,2010,3
311360,2010,1
313850,2010,0
311350,2010,0
313860,2010,0
311340,2010,15
313862,2010,1
311330,2010,6
313865,2010,0
311320,2010,0
313867,2010,1
311310,2010,0
313868,2010,1
313870,2010,0
