ano,uf,cod_ibge,pib_mil_rs,pib_per_capita_rs
2010,RO,110001,262076.878,10731.18
2010,RO,110002,1364693.78,15103.86
2010,RO,110003,69611.114,11033.62
2010,RO,110004,1186494.091,15095.15
2010,RO,110005,222021.189,13037.06
2010,RO,110006,193092.596,10380.21
2010,RO,110007,114768.272,13038.89
2010,RO,110008,107583.052,7852.78
2010,RO,110009,311787.835,10848.19
2010,RO,110010,598167.052,14363.13
2010,RO,110011,797296.433,15319.96
2010,RO,110012,1855358.695,15913.94
2010,RO,110013,272200.914,8750.47
2010,RO,110014,173651.29,8750.38
2010,RO,110015,477501.323,12585.36
2010,RO,110018,540861.562,16023.63
2010,RO,110020,9093823.824,21319.08
2010,RO,110025,235588.861,10555.53
2010,RO,110026,41934.024,12645.97
2010,RO,110028,627848.22,12390.44
2010,RO,110029,98818.321,11120.68
2010,RO,110030,1447187.301,18995.2
2010,RO,110032,324475.914,14867.85
2010,RO,110033,218431.236,9685.67
2010,RO,110034,160688.809,9528.51
2010,RO,110037,119974.008,9353.97
2010,RO,110040,152235.166,8879.79
2010,RO,110045,336264.863,10383.35
2010,RO,110050,95420.086,9321.1
2010,RO,110060,76700.806,13392.84
2010,RO,110070,120440.101,9506.68
2010,RO,110080,228321.486,11541.88
2010,RO,110090,39936.323,11152.28
2010,RO,110092,165716.351,19956.21
2010,RO,110094,210217.76,13243.73
2010,RO,110100,111130.032,10570.72
2010,RO,110110,90690.484,10593.45
2010,RO,110120,99692.423,9628.4
2010,RO,110130,114868.695,9678.04
2010,RO,110140,143416.702,10178.62
2010,RO,110143,70738.614,9434.33
2010,RO,110145,49986.237,10392.15
2010,RO,110146,43812.047,18868.24
2010,RO,110147,35105.453,9964.65
2010,RO,110148,58726.974,9758.55
2010,RO,110149,173609.634,10837.73
2010,RO,110150,117280.833,10067.89
2010,RO,110155,50001.145,10218.91
2010,RO,110160,105535.46,9915.02
2010,RO,110170,121359.369,9357.65
2010,RO,110175,91480.288,9772.49
2010,RO,110180,89262.956,10861.88
2010,AC,120001,121914.728,9723.62
2010,AC,120005,42017.446,6916.45
2010,AC,120010,190698.905,8895.37
2010,AC,120013,86264.957,10179.96
2010,AC,120017,108531.092,12319.08
2010,AC,120020,771040.223,9829.18
2010,AC,120025,144997.034,9585.95
2010,AC,120030,200520.809,6205.96
2010,AC,120032,41233.997,6313.58
2010,AC,120033,95418.696,6258.61
2010,AC,120034,55802.854,6984.96
2010,AC,120035,96004.931,6760.91
2010,AC,120038,132632.661,7709.86
2010,AC,120039,60317.594,6576.28
2010,AC,120040,5125851.32,15264.78
2010,AC,120042,124221.492,8666.21
2010,AC,120043,35855.183,7774.32
2010,AC,120045,184619.609,9160.9
2010,AC,120050,264528.129,6962.55
2010,AC,120060,227962.514,6416.78
2010,AC,120070,117259.888,7321.42
2010,AC,120080,114661.461,7744.26
2010,AM,130002,58364.675,4145.22
2010,AM,130006,36940.837,3825.29
2010,AM,130008,51913.34,5093.04
2010,AM,130010,64424.012,3955.06
2010,AM,130014,104517.786,5787.57
2010,AM,130020,68895.572,4547.86
2010,AM,130030,154784.984,4855.85
2010,AM,130040,93662.831,3642.34
2010,AM,130050,117982.694,4312.08
2010,AM,130060,137141.139,4107.13
2010,AM,130063,74007.77,4774.69
2010,AM,130068,55075.769,3691.16
2010,AM,130070,151888.738,5083.29
2010,AM,130080,156531.951,4543.48
2010,AM,130083,66860.598,6128.94
2010,AM,130090,49393.637,3881.01
2010,AM,130100,129697.447,5046.59
2010,AM,130110,143726.596,4404.6
2010,AM,130115,188022.504,7846.37
2010,AM,130120,1998793.445,26331.44
2010,AM,130130,120603.174,5216.63
2010,AM,130140,151776.997,4949.36
2010,AM,130150,71690.248,4390.63
2010,AM,130160,95661.969,4221.81
2010,AM,130165,51645.72,3669.58
2010,AM,130170,217550.061,4931.32
2010,AM,130180,69653.712,3137.7
2010,AM,130185,306445.629,7522.91
2010,AM,130190,849636.545,9783.93
2010,AM,130195,42984.727,5346.36
2010,AM,130200,82028.98,10003.53
2010,AM,130210,32589.772,4471.09
2010,AM,130220,48746.683,4504.41
2010,AM,130230,89745.308,4995.84
2010,AM,130240,205324.579,5464.54
2010,AM,130250,647439.91,7604.06
2010,AM,130255,124713.917,5468.23
2010,AM,130260,50168821.175,27832.52
2010,AM,130270,251450.327,5348.76
2010,AM,130280,65053.946,3746.48
2010,AM,130290,271610.911,5238.7
2010,AM,130300,69664.386,3811.38
2010,AM,130310,128636.703,4181.81
2010,AM,130320,73846.168,4996.36
2010,AM,130330,78083.916,3650.66
2010,AM,130340,578337.198,5666.31
2010,AM,130350,76686.166,4224.43
2010,AM,130353,314535.23,11597.48
2010,AM,130356,193863.213,7526.33
2010,AM,130360,65376.313,3605.38
2010,AM,130370,83501.322,3410.03
2010,AM,130380,162583.165,4358.8
2010,AM,130390,108879.053,3464.62
2010,AM,130395,42612.81,3986.98
2010,AM,130400,48369.96,5727.64
2010,AM,130406,237077.849,4534.86
2010,AM,130410,84359.202,4422.04
2010,AM,130420,350169.148,5703.17
2010,AM,130423,58573.098,3434.16
2010,AM,130426,78559.015,6598.27
2010,AM,130430,102019.917,5994.47
2010,AM,130440,73588.237,4150.26
2010,RR,140002,76901.218,8242.36
2010,RR,140005,134967.393,8287.33
2010,RR,140010,5123255.741,18023.26
2010,RR,140015,108567.536,9913.94
2010,RR,140017,124720.311,9052.13
2010,RR,140020,174393.565,9486.16
2010,RR,140023,73318.052,9035.99
2010,RR,140028,76327.457,8797.54
2010,RR,140030,147252.38,9940.08
2010,RR,140040,74442.172,8339.93
2010,RR,140045,102813.61,9840.51
2010,RR,140047,241464.868,9437.01
2010,RR,140050,66010.25,9738.9
2010,RR,140060,59706.16,8845.36
2010,RR,140070,55009.764,6752.15
2010,PA,150010,583793.453,4138.79
2010,PA,150013,53598.698,7891.45
2010,PA,150020,440767.452,8222.51
2010,PA,150030,161293.159,4606.14
2010,PA,150034,180873.251,7217.32
2010,PA,150040,361812.746,6863.69
2010,PA,150050,576867.404,17135.52
2010,PA,150060,842407.869,8020.64
2010,PA,150070,95375.829,3850.3
2010,PA,150080,4100512.646,8692.24
2010,PA,150085,111551.491,5443.39
2010,PA,150090,133307.829,3291.63
2010,PA,150095,212960.707,8012.37
2010,PA,150100,55948.161,3548.43
2010,PA,150110,78845.132,3305.18
2010,PA,150120,169273.964,4586.5
2010,PA,150125,34214.898,9963.57
2010,PA,150130,2227149.609,22316.13
2010,PA,150140,18801039.135,13506.19
2010,PA,150145,109871.28,6730.66
2010,PA,150150,580846.682,11242.99
2010,PA,150157,86835.85,5695.65
2010,PA,150160,56788.233,4166.41
2010,PA,150170,509271.612,4500.26
2010,PA,150172,104504.136,5818.72
2010,PA,150175,35203.558,4806.6
2010,PA,150178,534052.061,10173
2010,PA,150180,363439.583,3913.63
2010,PA,150190,228096.636,8875.36
2010,PA,150195,76673.44,2895.96
2010,PA,150200,78541.001,3838.76
2010,PA,150210,475010.725,3928.83
2010,PA,150215,2120091.971,79323.98
2010,PA,150220,601463.761,9452.82
2010,PA,150230,232621.543,4482.2
2010,PA,150240,1738923.327,10046.01
2010,PA,150250,82704.997,3912.62
2010,PA,150260,42094.338,3698.33
2010,PA,150270,299034.029,6567.85
2010,PA,150275,136685.214,4843.39
2010,PA,150276,107976.979,10305.11
2010,PA,150277,116295.01,6356.66
2010,PA,150280,92822.407,3247.58
2010,PA,150285,93834.611,7652.47
2010,PA,150290,132770.765,3849.54
2010,PA,150293,311832.018,6076.46
2010,PA,150295,200326.123,6310.48
2010,PA,150300,29520.56,3608.43
2010,PA,150304,271035.984,15205.38
2010,PA,150307,121026.532,4831.21
2010,PA,150309,170781.713,5610.99
2010,PA,150310,103743.605,3569.98
2010,PA,150320,136819.4,3817.19
2010,PA,150330,237082.371,4086.01
2010,PA,150340,45885.373,4559.36
2010,PA,150345,387766.77,7546.6
2010,PA,150350,105747.939,3369.7
2010,PA,150360,906106.524,9308.39
2010,PA,150370,241334.392,4708.23
2010,PA,150375,99660.359,7098.32
2010,PA,150380,263119.36,5121.54
2010,PA,150390,480751.584,10202.06
2010,PA,150400,193959.718,7749.71
2010,PA,150405,174971.916,6273.19
2010,PA,150410,34470.811,4247.79
2010,PA,150420,3458624.643,14814.51
2010,PA,150430,112321.764,3958.34
2010,PA,150440,100430.221,3774.86
2010,PA,150442,732170.624,6763.64
2010,PA,150445,258217.912,9409.59
2010,PA,150450,69232.354,2792.87
2010,PA,150460,128841.168,4817.39
2010,PA,150470,398706.134,5702.24
2010,PA,150480,394236.234,7108.61
2010,PA,150490,140603.967,4106.78
2010,PA,150495,98465.427,4884.44
2010,PA,150497,67353.644,4599.09
2010,PA,150500,56295.983,4121.23
2010,PA,150503,293612.911,11694.93
2010,PA,150506,347950.987,5600.91
2010,PA,150510,363168.529,7373.38
2010,PA,150520,154221.598,5393.31
2010,PA,150530,1635545.137,25976.29
2010,PA,150540,90156.01,5532.4
2010,PA,150543,326028.765,11828.06
2010,PA,150548,224947.177,5616.38
2010,PA,150549,36046.261,4814.51
2010,PA,150550,1427238.665,14595.23
2010,PA,150553,14985169.892,97342.96
2010,PA,150555,42532.201,7054.6
2010,PA,150560,28106.12,3572.21
2010,PA,150563,89211.266,7022.85
2010,PA,150565,111569.851,4662.34
2010,PA,150570,111425.832,4287.42
2010,PA,150580,264771.529,5075.56
2010,PA,150590,131392.385,3870.06
2010,PA,150600,141500.738,4835.15
2010,PA,150610,34878.707,3396.84
2010,PA,150611,43000.234,3464.69
2010,PA,150613,752442.73,9965.47
2010,PA,150616,201449.035,11367.17
2010,PA,150618,333880.002,7107.76
2010,PA,150619,149745.109,3737.27
2010,PA,150620,176749.427,4722.13
2010,PA,150630,77018.374,3815.81
2010,PA,150635,71545.31,4170.77
2010,PA,150640,33698.442,4128.19
2010,PA,150650,366697.775,6165.47
2010,PA,150655,74135.186,3817.07
2010,PA,150658,125316.102,7286.67
2010,PA,150660,152533.516,6622.39
2010,PA,150670,329767.345,5874.85
2010,PA,150680,2309691.505,7835.47
2010,PA,150690,24334.587,3960.06
2010,PA,150700,136004.751,5098.97
2010,PA,150710,57871.319,3426.16
2010,PA,150715,113689.732,4913.13
2010,PA,150720,151118.237,5066.49
2010,PA,150730,495055.163,5422.71
2010,PA,150740,96493.964,6349.96
2010,PA,150745,166439.148,6505.6
2010,PA,150746,23155.053,4397.92
2010,PA,150747,74769.088,3621.83
2010,PA,150750,54398.241,4137.06
2010,PA,150760,338329.769,6566.07
2010,PA,150770,98323.587,4295.48
2010,PA,150775,54126.281,10724.45
2010,PA,150780,57736.302,4441.94
2010,PA,150790,86847.417,3776.8
2010,PA,150795,422200.902,5324.16
2010,PA,150796,34897.022,3403.26
2010,PA,150797,71984.328,4246.36
2010,PA,150800,335913.012,5943.89
2010,PA,150803,95702.985,3484.42
2010,PA,150805,103515.1,6130.6
2010,PA,150808,348357.922,10352.08
2010,PA,150810,2566105.142,26425
2010,PA,150812,545230.465,12578.85
2010,PA,150815,294588.008,4919.56
2010,PA,150820,180174.12,3761.31
2010,PA,150830,237508.911,4190.27
2010,PA,150835,92756.227,6881.03
2010,PA,150840,500256.054,12329.78
2010,AP,160005,37563.438,8519.72
2010,AP,160010,77627.678,9697.4
2010,AP,160015,171959.377,15962.07
2010,AP,160020,83485.403,9313.41
2010,AP,160021,39502.462,8524.48
2010,AP,160023,69507.65,12042.21
2010,AP,160025,32632.8,7647.71
2010,AP,160027,346802.637,8712.54
2010,AP,160030,5503896.368,13831.91
2010,AP,160040,150945.691,8863.52
2010,AP,160050,193371.294,9466.92
2010,AP,160053,211985.42,12599.43
2010,AP,160055,37125.77,9813.84
2010,AP,160060,1075428.189,10626.45
2010,AP,160070,101675.855,8176.59
2010,AP,160080,104285.319,8379.7
2010,TO,170025,16234.443,6801.19
2010,TO,170030,65256.457,12651.5
2010,TO,170035,46763.86,8257.79
2010,TO,170040,62942.269,8287.33
2010,TO,170070,144371.891,17228.15
2010,TO,170100,61771.04,6256.56
2010,TO,170105,25223.302,7959.39
2010,TO,170110,32140.857,7628.97
2010,TO,170130,34843.972,5923.83
2010,TO,170190,37093.882,5872.07
2010,TO,170200,97397.539,11085.54
2010,TO,170210,1980667.651,13158.83
2010,TO,170215,37212.33,7398.08
2010,TO,170220,193361.08,6172.94
2010,TO,170230,54102.506,8024.7
2010,TO,170240,117228.788,11014.64
2010,TO,170255,101685.628,6369.28
2010,TO,170270,21788.636,6322.88
2010,TO,170290,52291.237,5637.87
2010,TO,170300,58612.28,5610.98
2010,TO,170305,45296.328,14499.46
2010,TO,170307,25458.056,6174.64
2010,TO,170310,38099.209,7126.68
2010,TO,170320,37847.776,8472.75
2010,TO,170330,28849.247,7656.38
2010,TO,170360,18970.24,9182.11
2010,TO,170370,48612.395,9370.16
2010,TO,170380,49310.066,5047.09
2010,TO,170382,13096.94,6097.27
2010,TO,170384,161232.729,19809.89
2010,TO,170386,63926.721,17028.96
2010,TO,170388,20877.884,9057.65
2010,TO,170389,19058.06,5164.79
2010,TO,170390,28715.478,6241.14
2010,TO,170410,15278.861,5956.67
2010,TO,170460,11127.326,8335.08
2010,TO,170510,27637.364,8426.03
2010,TO,170550,314490.964,10184.62
2010,TO,170555,29498.631,6317.98
2010,TO,170560,25436.844,6082.46
2010,TO,170600,38466.325,7679.44
2010,TO,170610,54392.683,7535.7
2010,TO,170625,18920.415,12082
2010,TO,170650,39958.767,7577.99
2010,TO,170700,264357.21,13833.45
2010,TO,170710,51343.408,8069.06
2010,TO,170720,46594.272,6506.67
2010,TO,170730,55728.945,12144.03
2010,TO,170740,44965.577,4745.21
2010,TO,170755,33906.04,8910.92
2010,TO,170765,69694.626,13051.43
2010,TO,170770,59686.675,7020.31
2010,TO,170820,214558.353,11643.06
2010,TO,170825,59252.173,24454.05
2010,TO,170830,33663.157,6786.93
2010,TO,170900,77204.181,6399.55
2010,TO,170930,277727.418,11964.82
2010,TO,170950,1234373.556,16079.9
2010,TO,170980,15535.533,9478.67
2010,TO,171050,49459.081,6962.15
2010,TO,171070,33168.529,5501.5
2010,TO,171090,29689.05,8400.98
2010,TO,171110,22390.495,9180.19
2010,TO,171150,26877.672,7664.01
2010,TO,171180,14853.236,6657.66
2010,TO,171190,170220.104,16663.74
2010,TO,171195,17744.236,5033.83
2010,TO,171200,29084.035,10488.29
2010,TO,171215,29817.434,18577.84
2010,TO,171240,18046.067,4836.79
2010,TO,171245,20333.966,7755.14
2010,TO,171250,34235.249,7866.56
2010,TO,171270,49393.923,22259.54
2010,TO,171280,16973.643,5374.81
2010,TO,171320,411917.043,19907.07
2010,TO,171330,109322.964,8658.56
2010,TO,171360,54331.183,8088.61
2010,TO,171370,15467.009,7418.23
2010,TO,171380,44503.636,7745.15
2010,TO,171395,24676.846,7828.95
2010,TO,171420,66308.32,7367.59
2010,TO,171430,23850.485,5437.87
2010,TO,171488,146027.013,13665.26
2010,TO,171500,22874.496,6067.51
2010,TO,171510,21269.607,5653.8
2010,TO,171515,14874.727,6506.88
2010,TO,171525,53714.486,21861.82
2010,TO,171550,11237.551,10857.54
2010,TO,171570,32943.809,6649.94
2010,TO,171575,60013.336,8173.98
2010,TO,171610,570080.042,12830.39
2010,TO,171620,199267.87,19280.88
2010,TO,171630,37199.377,8107.97
2010,TO,171650,175468.04,15202.57
2010,TO,171660,421891.769,40609.47
2010,TO,171665,35157.734,6959.17
2010,TO,171670,65866.626,7652.68
2010,TO,171700,27275.386,6053.13
2010,TO,171720,22919.794,7849.24
2010,TO,171750,58394.945,8720.87
2010,TO,171780,22415.613,4928.67
2010,TO,171790,41894.808,5834.93
2010,TO,171800,16061.134,5746.38
2010,TO,171820,550115.308,11194.17
2010,TO,171830,35356.412,4615.12
2010,TO,171840,40119.15,10887.15
2010,TO,171845,45686.914,19309.77
2010,TO,171850,21001.843,5573.74
2010,TO,171855,24034.815,5745.83
2010,TO,171865,11847.681,6912.3
2010,TO,171870,25883.953,10071.58
2010,TO,171875,31833.855,5086.09
2010,TO,171880,19060.577,4927.76
2010,TO,171884,32763.171,9850.62
2010,TO,171886,54763.608,8298.77
2010,TO,171888,19746.404,6823.22
2010,TO,171889,22945.922,10782.86
2010,TO,171890,42419.266,9286.18
2010,TO,171900,16501.974,6540.62
2010,TO,172000,14702.785,5950.14
2010,TO,172010,22707.855,4920.45
2010,TO,172015,11116.648,7693.18
2010,TO,172020,45731.461,4359.53
2010,TO,172025,31645.884,10874.87
2010,TO,172030,21421.672,5001.56
2010,TO,172049,36556.367,8338.59
2010,TO,172065,46899.994,9248.67
2010,TO,172080,43776.217,4785.33
2010,TO,172085,20787.516,11953.72
2010,TO,172090,110350.203,7330.78
2010,TO,172093,12508.239,6430.97
2010,TO,172097,36606.214,14288.14
2010,TO,172100,4102952.289,17971.99
2010,TO,172110,31115.047,4715.83
2010,TO,172120,140542.14,6216.48
2010,TO,172125,26070.701,16563.34
2010,TO,172130,21176.273,10098.37
2010,TO,172208,80223.4,7307.65
2010,TO,172210,230191.881,20044.57
2010,MA,210005,1012037.142,9729.91
2010,MA,210010,17246.588,2895.18
2010,MA,210015,32945.093,2842.54
2010,MA,210020,59899.843,2741.16
2010,MA,210030,77637.618,3241.38
2010,MA,210040,30449.544,2982.03
2010,MA,210043,97104.502,3947.98
2010,MA,210047,97761.937,3150.77
2010,MA,210050,131201.974,12187.83
2010,MA,210055,21934.451,3410.74
2010,MA,210060,129545.138,3418.62
2010,MA,210070,82435.304,3259.09
2010,MA,210080,72977.095,5241.48
2010,MA,210083,38629.699,2582.37
2010,MA,210087,35983.421,2578.16
2010,MA,210090,142220.203,3338.5
2010,MA,210095,104208.149,3301.07
2010,MA,210100,111984.764,3932.46
2010,MA,210110,31825.885,2785.64
2010,MA,210120,607057.279,6073
2010,MA,210125,166512.845,11126.82
2010,MA,210130,43404.85,2610.66
2010,MA,210135,15537.938,2929.48
2010,MA,210140,1438809.672,17223.62
2010,MA,210150,80646.245,4526.62
2010,MA,210160,309789.568,3746.31
2010,MA,210170,196704.906,3577.04
2010,MA,210173,20542.502,3147.31
2010,MA,210177,41185.627,3447.65
2010,MA,210180,18880.906,3449.83
2010,MA,210190,56247.255,2765.49
2010,MA,210193,26190.234,4367.95
2010,MA,210197,27913.902,3511.62
2010,MA,210200,156660.388,4007.38
2010,MA,210203,123547.349,4341.7
2010,MA,210207,46839.552,3159.92
2010,MA,210210,134500.121,4037.35
2010,MA,210215,38643.216,3666.34
2010,MA,210220,91131.624,3370
2010,MA,210230,70058.542,3061.2
2010,MA,210232,244982.334,3755.9
2010,MA,210235,44969.547,3044.65
2010,MA,210237,25259.677,2992.14
2010,MA,210240,27958.901,2629.69
2010,MA,210250,51233.047,2792.3
2010,MA,210255,57290.454,4285.32
2010,MA,210260,61636.831,3330.82
2010,MA,210270,62812.316,3070.46
2010,MA,210275,49600.407,4636.42
2010,MA,210280,144281.556,6017
2010,MA,210290,76065.517,3456.27
2010,MA,210300,1025085.637,6604.85
2010,MA,210310,29268.355,2841.59
2010,MA,210312,21147.105,2647.36
2010,MA,210315,34139.121,2727.42
2010,MA,210317,62407.202,3541.44
2010,MA,210320,331086.167,4518.04
2010,MA,210325,68517.294,5040.63
2010,MA,210330,593907.852,5030.05
2010,MA,210340,184327.758,3939.3
2010,MA,210350,155747.553,3976.5
2010,MA,210355,52305.364,3625.27
2010,MA,210360,213301.855,3459.72
2010,MA,210370,109155.951,3348.96
2010,MA,210375,55055.844,4386.57
2010,MA,210380,124434.213,5488.21
2010,MA,210390,30436.331,2862.17
2010,MA,210400,62977.961,3412.33
2010,MA,210405,443751.454,12416.8
2010,MA,210407,32776.712,4036.54
2010,MA,210408,28155.158,3067.01
2010,MA,210409,75038.265,4220.37
2010,MA,210410,87270.459,7494.89
2010,MA,210420,60073.463,3976.27
2010,MA,210430,45674.578,4294.74
2010,MA,210440,52987.877,3030.48
2010,MA,210450,30208.196,2960.14
2010,MA,210455,141232.647,8885.35
2010,MA,210460,52650.093,3294.13
2010,MA,210462,24654.781,3360.34
2010,MA,210465,35208.524,2953.24
2010,MA,210467,106540.25,4194.17
2010,MA,210470,21451.622,3493.75
2010,MA,210480,313697.984,5067.57
2010,MA,210490,35762.387,2954.35
2010,MA,210500,68846.589,2628.03
2010,MA,210510,64493.838,2564.67
2010,MA,210515,81142.117,6469.12
