cod_ibge,municipio,ano,populacao
110001,Alta Floresta D''Oeste,2010,25094
110001,Alta Floresta D''Oeste,2011,24947
110001,Alta Floresta D''Oeste,2012,24858
110001,Alta Floresta D''Oeste,2013,24765
110001,Alta Floresta D''Oeste,2014,24664
110001,Alta Floresta D''Oeste,2015,24540
110001,Alta Floresta D''Oeste,2016,24396
110001,Alta Floresta D''Oeste,2017,24238
110001,Alta Floresta D''Oeste,2018,24068
110001,Alta Floresta D''Oeste,2019,23910
110001,Alta Floresta D''Oeste,2020,23752
110001,Alta Floresta D''Oeste,2021,23546
110002,Ariquemes,2010,91527
110002,Ariquemes,2011,92935
110002,Ariquemes,2012,94451
110002,Ariquemes,2013,95982
110002,Ariquemes,2014,97496
110002,Ariquemes,2015,98956
110002,Ariquemes,2016,100316
110002,Ariquemes,2017,101559
110002,Ariquemes,2018,102718
110002,Ariquemes,2019,103895
110002,Ariquemes,2020,105044
110002,Ariquemes,2021,105986
110003,Cabixi,2010,6536
110003,Cabixi,2011,6472
110003,Cabixi,2012,6430
110003,Cabixi,2013,6386
110003,Cabixi,2014,6335
110003,Cabixi,2015,6293
110003,Cabixi,2016,6235
110003,Cabixi,2017,6186
110003,Cabixi,2018,6117
110003,Cabixi,2019,6059
110003,Cabixi,2020,5995
110003,Cabixi,2021,5922
110004,Cacoal,2010,79624
110004,Cacoal,2011,80747
110004,Cacoal,2012,82220
110004,Cacoal,2013,83818
110004,Cacoal,2014,85393
110004,Cacoal,2015,86910
110004,Cacoal,2016,88323
110004,Cacoal,2017,89662
110004,Cacoal,2018,90912
110004,Cacoal,2019,92203
110004,Cacoal,2020,93443
110004,Cacoal,2021,94502
110005,Cerejeiras,2010,17440
110005,Cerejeiras,2011,17387
110005,Cerejeiras,2012,17387
110005,Cerejeiras,2013,17403
110005,Cerejeiras,2014,17411
110005,Cerejeiras,2015,17404
110005,Cerejeiras,2016,17374
110005,Cerejeiras,2017,17337
110005,Cerejeiras,2018,17306
110005,Cerejeiras,2019,17284
110005,Cerejeiras,2020,17271
110005,Cerejeiras,2021,17208
110006,Colorado Do Oeste,2010,19241
110006,Colorado Do Oeste,2011,19029
110006,Colorado Do Oeste,2012,18886
110006,Colorado Do Oeste,2013,18740
110006,Colorado Do Oeste,2014,18595
110006,Colorado Do Oeste,2015,18436
110006,Colorado Do Oeste,2016,18270
110006,Colorado Do Oeste,2017,18075
110006,Colorado Do Oeste,2018,17883
110006,Colorado Do Oeste,2019,17702
110006,Colorado Do Oeste,2020,17520
110006,Colorado Do Oeste,2021,17289
110007,Corumbiara,2010,9054
110007,Corumbiara,2011,8963
110007,Corumbiara,2012,8899
110007,Corumbiara,2013,8843
110007,Corumbiara,2014,8776
110007,Corumbiara,2015,8716
110007,Corumbiara,2016,8635
110007,Corumbiara,2017,8553
110007,Corumbiara,2018,8481
110007,Corumbiara,2019,8412
110007,Corumbiara,2020,8349
110007,Corumbiara,2021,8260
110008,Costa Marques,2010,13810
110008,Costa Marques,2011,13991
110008,Costa Marques,2012,14084
110008,Costa Marques,2013,14115
110008,Costa Marques,2014,14134
110008,Costa Marques,2015,14157
110008,Costa Marques,2016,14136
110008,Costa Marques,2017,14101
110008,Costa Marques,2018,14034
110008,Costa Marques,2019,13981
110008,Costa Marques,2020,13909
110008,Costa Marques,2021,13818
110009,Espigao D''Oeste,2010,29278
110009,Espigao D''Oeste,2011,29598
110009,Espigao D''Oeste,2012,29968
110009,Espigao D''Oeste,2013,30330
110009,Espigao D''Oeste,2014,30689
110009,Espigao D''Oeste,2015,31015
110009,Espigao D''Oeste,2016,31303
110009,Espigao D''Oeste,2017,31552
110009,Espigao D''Oeste,2018,31789
110009,Espigao D''Oeste,2019,32010
110009,Espigao D''Oeste,2020,32225
110009,Espigao D''Oeste,2021,32365
110010,Guajara-Mirim,2010,42651
110010,Guajara-Mirim,2011,42855
110010,Guajara-Mirim,2012,43059
110010,Guajara-Mirim,2013,43232
110010,Guajara-Mirim,2014,43403
110010,Guajara-Mirim,2015,43547
110010,Guajara-Mirim,2016,43644
110010,Guajara-Mirim,2017,43698
110010,Guajara-Mirim,2018,43756
110010,Guajara-Mirim,2019,43841
110010,Guajara-Mirim,2020,43902
110010,Guajara-Mirim,2021,43887
110011,Jaru,2010,53303
110011,Jaru,2011,53408
110011,Jaru,2012,53705
110011,Jaru,2013,54058
110011,Jaru,2014,54392
110011,Jaru,2015,54686
110011,Jaru,2016,54918
110011,Jaru,2017,55098
110011,Jaru,2018,55264
110011,Jaru,2019,55435
110011,Jaru,2020,55575
110011,Jaru,2021,55620
110012,Ji-Parana,2010,118671
110012,Ji-Parana,2011,120182
110012,Ji-Parana,2012,122034
110012,Ji-Parana,2013,123982
110012,Ji-Parana,2014,125885
110012,Ji-Parana,2015,127703
110012,Ji-Parana,2016,129346
110012,Ji-Parana,2017,130861
110012,Ji-Parana,2018,132285
110012,Ji-Parana,2019,133745
110012,Ji-Parana,2020,135144
110012,Ji-Parana,2021,136262
110013,Machadinho D''Oeste,2010,31530
110013,Machadinho D''Oeste,2011,32018
110013,Machadinho D''Oeste,2012,32379
110013,Machadinho D''Oeste,2013,32669
110013,Machadinho D''Oeste,2014,32949
110013,Machadinho D''Oeste,2015,33217
110013,Machadinho D''Oeste,2016,33431
110013,Machadinho D''Oeste,2017,33600
110013,Machadinho D''Oeste,2018,33735
110013,Machadinho D''Oeste,2019,33862
110013,Machadinho D''Oeste,2020,33959
110013,Machadinho D''Oeste,2021,34020
110014,Nova Brasilandia D''Oeste,2010,20296
110014,Nova Brasilandia D''Oeste,2011,20196
110014,Nova Brasilandia D''Oeste,2012,20001
110014,Nova Brasilandia D''Oeste,2013,19737
110014,Nova Brasilandia D''Oeste,2014,19474
110014,Nova Brasilandia D''Oeste,2015,19192
110014,Nova Brasilandia D''Oeste,2016,18899
110014,Nova Brasilandia D''Oeste,2017,18598
110014,Nova Brasilandia D''Oeste,2018,18300
110014,Nova Brasilandia D''Oeste,2019,18029
110014,Nova Brasilandia D''Oeste,2020,17744
110014,Nova Brasilandia D''Oeste,2021,17437
110015,Ouro Preto Do Oeste,2010,39163
110015,Ouro Preto Do Oeste,2011,39088
110015,Ouro Preto Do Oeste,2012,39144
110015,Ouro Preto Do Oeste,2013,39246
110015,Ouro Preto Do Oeste,2014,39336
110015,Ouro Preto Do Oeste,2015,39409
110015,Ouro Preto Do Oeste,2016,39431
110015,Ouro Preto Do Oeste,2017,39420
110015,Ouro Preto Do Oeste,2018,39382
110015,Ouro Preto Do Oeste,2019,39358
110015,Ouro Preto Do Oeste,2020,39329
110015,Ouro Preto Do Oeste,2021,39207
